fold,validation_mean_average_precision,test_mean_average_precision,validation_micro_f1_at_0_5,validation_macro_f1_at_0_5,test_micro_f1_at_0_5,test_macro_f1_at_0_5,parameter_count,trainable_parameter_count
1,0.7154014314106525,0.659342477128305,0.7672291296625222,0.5616118949779944,0.6565095261358085,0.520403244925482,66958086,66958086
2,0.7047987740944462,0.6410403438071479,0.7773212818405916,0.6465352501931123,0.6766894271104443,0.6032869058311573,66958086,66958086
3,0.7120025623122744,0.6304212854960317,0.7877830874714316,0.6675785234257186,0.6562754972849788,0.5863795039232607,66958086,66958086
