variant_name,task_type,target_label,selection_metric,validation_main_metric,test_main_metric,total_train_seconds,avg_epoch_seconds,samples_per_second,max_gpu_memory_mb,parameter_count,trainable_parameter_count
multilabel_distilbert_cv,multilabel,,validation_mean_average_precision,0.6929096954720659,0.680587031044503,1642.632747648,129.96197754677783,1748.581966427167,2781.27587890625,66958086,66958086
binary_toxic,binary,toxic,validation_average_precision,0.9163489584898518,0.7967387763951077,174.39727806499968,165.15082009299977,777.7357623061492,2521.8330078125,66954241,66954241
binary_severe_toxic,binary,severe_toxic,validation_average_precision,0.4551674892058862,0.3376288592521979,174.40342082300003,165.43124325899998,777.7083692507061,2521.8330078125,66954241,66954241
binary_obscene,binary,obscene,validation_average_precision,0.9146080950166462,0.7771188557186623,174.37673327699986,165.32044138699985,777.827393890571,2521.8330078125,66954241,66954241
binary_threat,binary,threat,validation_average_precision,0.463051633889032,0.5304504460636297,174.45232435499975,165.44967056099995,777.4903573310444,2521.8330078125,66954241,66954241
binary_insult,binary,insult,validation_average_precision,0.8324016424638837,0.7544504352224406,174.63525384099967,165.4509687689997,776.675940377375,2521.8330078125,66954241,66954241
binary_identity_hate,binary,identity_hate,validation_average_precision,0.5687367446420807,0.6676799884532869,175.0917334159999,165.77951907700026,774.6510777738731,2521.8330078125,66954241,66954241
